,Tahun,Wilayah,HLS,RLS,Pengeluaran,IPG,Kemiskinan,AHH
0,2010,Provinsi Jawa Barat,10.69,7.4,9174.0,86.94,11.27,71.29
1,2011,Provinsi Jawa Barat,10.91,7.46,9249.0,87.12,10.57,71.56
2,2012,Provinsi Jawa Barat,11.24,7.52,9325.0,87.79,9.88,71.82
3,2013,Provinsi Jawa Barat,11.81,7.58,9421.0,88.21,9.61,72.09
4,2014,Provinsi Jawa Barat,12.08,7.71,9447.0,88.35,9.18,72.23
5,2015,Provinsi Jawa Barat,12.15,7.86,9778.0,89.11,9.53,72.41
6,2016,Provinsi Jawa Barat,12.28,8.0,10031.5,89.15,9.12,72.44
7,2017,Provinsi Jawa Barat,12.42,8.14,10285.0,89.18,8.71,72.47
8,2018,Provinsi Jawa Barat,12.45,8.15,10790.0,89.19,7.45,72.66
9,2019,Provinsi Jawa Barat,12.48,8.37,11152.0,89.26,6.91,72.85
10,2020,Provinsi Jawa Barat,12.5,8.55,10845.0,89.2,7.88,73.04
11,2021,Provinsi Jawa Barat,12.61,8.61,10934.0,89.36,8.4,73.23
12,2022,Provinsi Jawa Barat,12.62,8.78,11277.0,89.8,8.06,73.52
13,2023,Provinsi Jawa Barat,12.68,8.83,11695.0,90.23,7.62,73.8
